"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","199","seed","","2026-09-09","passed","2026-09-09","Test group","seed.spec.ts","",""
"","3573","Verify login with invalid credentials","","2026-09-07","passed","2026-09-07","Login Page","LoginPage.spec.js","",""
"","5035","Verify login with valid credentials","","2026-09-09","passed","2026-09-09","Login Page","LoginPage.spec.js","",""
"","4320","Verify login with invalid credentials 2 @smoke","","2026-09-09","passed","2026-09-09","Login Page","LoginPage.spec.js","",""
